"","CLE","AB","BA","BP","BP_AB","BP_PM","H","PB","PM","PM_AB","PT","PT_AB","PT_PM","TO","BOG","ALTI","D_1A","D_1AR","D_R","D_2","D_4GA","D_7","D_8","D_8AR","D_WA","ELE","P_DEF","ARI","DWFC","EVA","GDD","MAT","PRECT","PRECU","VPD","AG","BR","FT","HF","HL","LOG","SBOM","SBOS","SBON","O1700","O1880","O1900","O1920","rf_index","Forest_Type","RainFall"
"63",63,1.1,0.03,8.15,0.54,7.02,0.28,19.11,20.58,0.08,3.54,0,3.76,0.08,13.78,331.6,13.63,6.61,2.4,0.2,5.21,22.04,0,0,7.21,23.28,0,5,10,7,10,10,5,5,10,0,1.02,5.7,0.717,1.78,24.51,10.33,1.47,10.9,6.24,4.95,12.24,38.54,"H_c","c","H"
"64",64,0,0,1.39,0.06,0.98,0.68,15.55,25.77,0.24,3.41,0,7.49,0,20.59,318.96,12.11,1.67,3.34,1.05,13.57,18.58,0,0,16.7,17.37,0,4,10,7,9,9,5,6,9,0,0.95,6.44,0.001,1.56,4.35,2.1,0.18,3.67,6.25,6.66,12.09,57.09,"H_c","c","H"
"65",65,0.1,0,1.56,0,0.75,0.15,16.73,22.1,0,1.71,0,8.34,0,26.67,319.04,7.94,1.81,3.61,2.89,19.49,34.66,0,0,5.05,15.79,2,4,10,7,9,9,5,5,10,0.15,2.11,5.25,5.137,1,11.7,4.92,1.26,3.25,5.07,6.33,9.71,53.59,"H_c","c","H"
"66",66,0.09,0,0.51,0,0.14,0,4.97,26.04,0.14,2.23,0,4.92,0,42.9,325.52,3.2,4.47,0.64,0.96,9.58,74.12,0,0,0.96,7.94,0,4,10,7,9,9,5,5,10,0.42,5.11,7,6.43,1,7.2,2.88,1.86,5.6,22.97,7.43,8.79,18.92,"H_c","c","H"
"67",67,0.38,0,1.02,0,0.21,0.33,15.5,24.04,0,3.03,0,7.61,0,29.14,329.33,6.48,3.65,1.66,0,14.29,62.96,0,0,0.17,10.72,0,4,10,7,9,9,5,5,9,1.32,4.54,6.75,12.088,1,9.29,1.68,0.78,5.33,5.47,1.83,7.76,43.84,"H_c","c","H"
"68",68,2.88,0,12.43,0,3.8,0.46,29.52,21.01,0.07,3.66,0,5.37,0.2,7.53,355.72,10.9,11.39,4.95,3.47,3.96,24.26,0,0,0.99,21.82,0,4,10,7,9,9,5,5,10,0,4.91,6,2.462,1,6.87,7.79,2.68,7.5,2.17,0.72,4.34,47.1,"H_c","c","H"
"69",69,0.07,0,1.92,0,0.52,0.44,2.51,12.03,0.15,9.67,0,16.75,0,9.3,315.43,3.66,7.85,6.28,3.14,53.4,12.04,0,0,8.9,13.82,0,4,10,7,9,9,5,5,10,10.55,2.44,7.2,2.06,1,6.42,2.66,0.74,5,0.58,1.16,1.75,27.48,"H_c","c","H"
"70",70,0.16,0,3.34,0.08,1.09,0.39,4.27,29.4,0.39,4.42,0,7.21,0,17.84,322.33,6.91,4.26,0,3.72,22.87,29.79,0,0,11.17,7.87,0,4,10,7,9,9,5,5,10,1.71,3.18,6,15.899,1.67,14.35,5.9,2.72,8,5.37,21.47,14.77,24.83,"H_c","c","H"
"71",71,0.22,0,3.48,0.39,1.12,0.28,8.19,20.2,0.95,1.4,0,3.93,0,18.35,320.04,0,8.98,3.13,5.86,3.52,58.59,0,0,8.59,9.42,0,4,10,7,10,10,5,5,10,0.22,14.14,5,84.699,1,22,6.9,2.36,8,16.43,11.43,12.86,3.57,"H_c","c","H"
"72",72,1.2,0,4.29,0.5,1.2,0.3,4.89,4.79,0,13.06,1.69,5.88,0,11.07,305.85,0,0,0,0.7,35.21,25.35,0,0,10.56,9.98,0,5,10,7,10,10,5,5,10,8.67,6.98,6.75,54.918,1,12.36,8.77,1.2,8.75,0,1.15,13.8,10.35,"H_n","n","H"
